total_iter=124, loss_cls=1.7305456399917603, loss_fd=0.008619352243840694, loss_total=11.459220886230469
total_iter=125, loss_cls=1.8310267925262451, loss_fd=0.008561446331441402, loss_total=12.097023963928223
total_iter=126, loss_cls=1.794941782951355, loss_fd=0.0084456168115139, loss_total=12.145692825317383
total_iter=127, loss_cls=1.8011860847473145, loss_fd=0.008639100939035416, loss_total=11.646517753601074
total_iter=128, loss_cls=1.8391127586364746, loss_fd=0.008518285118043423, loss_total=12.821746826171875
total_iter=129, loss_cls=1.747506022453308, loss_fd=0.008447196334600449, loss_total=12.134122848510742
total_iter=130, loss_cls=1.9156497716903687, loss_fd=0.008561361581087112, loss_total=12.131634712219238
total_iter=131, loss_cls=1.8822373151779175, loss_fd=0.008569934405386448, loss_total=11.879913330078125
total_iter=132, loss_cls=1.8145897388458252, loss_fd=0.008372738026082516, loss_total=11.987393379211426
total_iter=133, loss_cls=1.7916094064712524, loss_fd=0.008543537929654121, loss_total=12.238600730895996
total_iter=134, loss_cls=1.716800570487976, loss_fd=0.008451512083411217, loss_total=12.426098823547363
total_iter=135, loss_cls=2.0059566497802734, loss_fd=0.00862562470138073, loss_total=12.902777671813965
total_iter=136, loss_cls=1.62541663646698, loss_fd=0.008474348112940788, loss_total=10.82708740234375
total_iter=137, loss_cls=1.9068913459777832, loss_fd=0.008538992144167423, loss_total=11.940544128417969
total_iter=138, loss_cls=1.65096914768219, loss_fd=0.008469218388199806, loss_total=11.821242332458496
total_iter=139, loss_cls=2.0502963066101074, loss_fd=0.008786773309111595, loss_total=13.130906105041504
total_iter=140, loss_cls=1.89429771900177, loss_fd=0.008693654090166092, loss_total=12.158129692077637
total_iter=141, loss_cls=2.0497055053710938, loss_fd=0.008668214082717896, loss_total=12.697062492370605
total_iter=142, loss_cls=1.7157766819000244, loss_fd=0.008447541855275631, loss_total=11.876989364624023
total_iter=143, loss_cls=1.961610198020935, loss_fd=0.008511491119861603, loss_total=12.765527725219727
total_iter=144, loss_cls=1.6439220905303955, loss_fd=0.008440429344773293, loss_total=11.629745483398438
total_iter=145, loss_cls=1.861770749092102, loss_fd=0.008539410308003426, loss_total=12.336623191833496
total_iter=146, loss_cls=1.8006432056427002, loss_fd=0.008589960634708405, loss_total=11.988409042358398
total_iter=147, loss_cls=1.8765124082565308, loss_fd=0.008479214273393154, loss_total=11.752030372619629
total_iter=148, loss_cls=1.9381457567214966, loss_fd=0.008738689124584198, loss_total=12.451227188110352
total_iter=149, loss_cls=1.9607045650482178, loss_fd=0.00879715196788311, loss_total=12.027793884277344
total_iter=150, loss_cls=1.7035006284713745, loss_fd=0.008336421102285385, loss_total=11.359002113342285
total_iter=151, loss_cls=1.9184176921844482, loss_fd=0.00851023942232132, loss_total=11.771709442138672
total_iter=152, loss_cls=1.7300699949264526, loss_fd=0.008676938712596893, loss_total=11.203450202941895
total_iter=153, loss_cls=1.8024022579193115, loss_fd=0.00873761996626854, loss_total=11.912191390991211
total_iter=154, loss_cls=1.8308357000350952, loss_fd=0.008588878437876701, loss_total=11.886430740356445
total_iter=155, loss_cls=1.799649715423584, loss_fd=0.00826076976954937, loss_total=11.345544815063477
total_iter=156, loss_cls=1.6406686305999756, loss_fd=0.008449696004390717, loss_total=11.599180221557617
total_iter=157, loss_cls=1.374940276145935, loss_fd=0.008531325496733189, loss_total=10.923431396484375
total_iter=158, loss_cls=1.7055772542953491, loss_fd=0.008620916865766048, loss_total=11.756629943847656
total_iter=159, loss_cls=1.6114779710769653, loss_fd=0.00859862007200718, loss_total=10.617445945739746
total_iter=160, loss_cls=1.8493988513946533, loss_fd=0.008700242266058922, loss_total=11.997027397155762
total_iter=161, loss_cls=1.907389760017395, loss_fd=0.008552271872758865, loss_total=11.890233039855957
total_iter=162, loss_cls=1.7224169969558716, loss_fd=0.008279012516140938, loss_total=11.327666282653809
total_iter=163, loss_cls=1.848850965499878, loss_fd=0.00851400289684534, loss_total=12.106475830078125
total_iter=164, loss_cls=1.6886041164398193, loss_fd=0.008550327271223068, loss_total=10.97854232788086
total_iter=165, loss_cls=1.6247237920761108, loss_fd=0.008477577939629555, loss_total=11.530380249023438
total_iter=166, loss_cls=1.6960722208023071, loss_fd=0.008326590061187744, loss_total=11.250395774841309
total_iter=167, loss_cls=1.6649274826049805, loss_fd=0.008554946631193161, loss_total=11.261420249938965
total_iter=168, loss_cls=1.695464849472046, loss_fd=0.008570954203605652, loss_total=11.325243949890137
total_iter=169, loss_cls=1.5730336904525757, loss_fd=0.00846874713897705, loss_total=10.813674926757812
total_iter=170, loss_cls=1.9277317523956299, loss_fd=0.008452396839857101, loss_total=11.892722129821777
total_iter=171, loss_cls=1.6253066062927246, loss_fd=0.008679607883095741, loss_total=11.2590970993042
total_iter=172, loss_cls=1.8041179180145264, loss_fd=0.008742371574044228, loss_total=11.16722583770752
total_iter=173, loss_cls=1.5359443426132202, loss_fd=0.00863967090845108, loss_total=11.137516021728516
total_iter=174, loss_cls=1.5760573148727417, loss_fd=0.008713185787200928, loss_total=10.994403839111328
total_iter=175, loss_cls=1.6040881872177124, loss_fd=0.008611591532826424, loss_total=10.702756881713867
total_iter=176, loss_cls=1.6248146295547485, loss_fd=0.008788282051682472, loss_total=10.759421348571777
total_iter=177, loss_cls=1.846186637878418, loss_fd=0.00879201665520668, loss_total=11.37370777130127
total_iter=178, loss_cls=1.7164690494537354, loss_fd=0.008538763970136642, loss_total=11.821178436279297
total_iter=179, loss_cls=1.8180670738220215, loss_fd=0.008656655438244343, loss_total=11.47762680053711
total_iter=180, loss_cls=1.7152059078216553, loss_fd=0.0085914833471179, loss_total=11.16686725616455
total_iter=181, loss_cls=1.9351301193237305, loss_fd=0.008754866197705269, loss_total=11.953178405761719
total_iter=182, loss_cls=1.6529853343963623, loss_fd=0.00862264633178711, loss_total=10.744209289550781
total_iter=183, loss_cls=1.3808449506759644, loss_fd=0.008541587740182877, loss_total=9.734641075134277
total_iter=184, loss_cls=1.6085686683654785, loss_fd=0.008512977510690689, loss_total=10.874011993408203
total_iter=185, loss_cls=1.4992650747299194, loss_fd=0.008617619052529335, loss_total=10.863616943359375
total_iter=186, loss_cls=1.4037370681762695, loss_fd=0.00873493030667305, loss_total=10.121047019958496
total_iter=187, loss_cls=2.1493043899536133, loss_fd=0.00859195925295353, loss_total=11.796223640441895
total_iter=188, loss_cls=1.8897559642791748, loss_fd=0.008510196581482887, loss_total=11.287067413330078
total_iter=189, loss_cls=1.5407938957214355, loss_fd=0.008643779903650284, loss_total=11.02642822265625
total_iter=190, loss_cls=1.8216935396194458, loss_fd=0.008328571915626526, loss_total=11.107950210571289
total_iter=191, loss_cls=1.495796799659729, loss_fd=0.008581317961215973, loss_total=10.642568588256836
total_iter=192, loss_cls=1.4072139263153076, loss_fd=0.00854965765029192, loss_total=10.02445125579834
total_iter=193, loss_cls=1.5625251531600952, loss_fd=0.008754147216677666, loss_total=10.165221214294434
total_iter=194, loss_cls=1.964267611503601, loss_fd=0.008838786743581295, loss_total=11.897387504577637
total_iter=195, loss_cls=1.4624664783477783, loss_fd=0.008618250489234924, loss_total=10.873832702636719
